"Species","Before","After","Change","YearChange","FirstYear","LastYear","PublicationsBefore","PublicationsAfter","DateOfSearch","StringUsedForSearch"
"Galaxias zebratus","2_NT","9_DD","Loss_info",2007,1998,2015,NA,NA,NA,NA
"Gavialis gangeticus","4_EN","5_CR","Worse",2007,1998,2015,NA,NA,NA,NA
"Gazella spekei","3_VU","4_EN","Worse",2007,1998,2015,NA,NA,NA,NA
"Gomphus consanguis","3_VU","4_EN","Worse",2007,1998,2015,NA,NA,NA,NA
"Gomphus sandrius","4_EN","3_VU","Better",2007,1998,2015,NA,NA,NA,NA
"Gomphus septima","3_VU","1_LC","Better",2007,1998,2015,NA,NA,NA,NA
"Gorilla gorilla","4_EN","5_CR","Worse",2007,1998,2015,NA,NA,NA,NA
"Heloderma horridum","3_VU","1_LC","Better",2007,1998,2015,NA,NA,NA,NA
"Heloderma suspectum","3_VU","2_NT","Better",2007,1998,2015,NA,NA,NA,NA
"Heteromunia pectoralis","2_NT","1_LC","Better",2007,1998,2015,NA,NA,NA,NA
"Hopea subalata","9_DD","5_CR","Gain_info",2007,1998,2015,NA,NA,NA,NA
"Houbaropsis bengalensis","4_EN","5_CR","Worse",2007,1998,2015,NA,NA,NA,NA
"Ischnura gemina","4_EN","3_VU","Better",2007,1998,2015,NA,NA,NA,NA
"Kinosternon creaseri","2_NT","1_LC","Better",2007,1998,2015,NA,NA,NA,NA
"Kinosternon oaxacae","2_NT","9_DD","Loss_info",2007,1998,2015,NA,NA,NA,NA
"Lanistes neavei","3_VU","1_LC","Better",2007,1998,2015,NA,NA,NA,NA
"Mazama chunyi","9_DD","3_VU","Gain_info",2007,1998,2015,NA,NA,NA,NA
"Metacnemis angusta","9_DD","3_VU","Gain_info",2007,1998,2015,NA,NA,NA,NA
"Microbiota decussata","9_DD","1_LC","Gain_info",2007,1998,2015,NA,NA,NA,NA
"Mycteroperca jordani","3_VU","4_EN","Worse",2007,1998,2015,NA,NA,NA,NA
"Nehalennia pallidula","3_VU","2_NT","Better",2007,1998,2015,NA,NA,NA,NA
"Neophron percnopterus","1_LC","4_EN","Worse",2007,1998,2015,NA,NA,NA,NA
"Nothobranchius kafuensis","4_EN","1_LC","Better",2007,1998,2015,NA,NA,NA,NA
"Ophiogomphus acuminatus","3_VU","2_NT","Better",2007,1998,2015,NA,NA,NA,NA
"Ophiogomphus anomalus","2_NT","1_LC","Better",2007,1998,2015,NA,NA,NA,NA
"Ophiogomphus howei","3_VU","1_LC","Better",2007,1998,2015,NA,NA,NA,NA
"Opsaridium peringueyi","3_VU","1_LC","Better",2007,1998,2015,NA,NA,NA,NA
"Oxyura maccoa","1_LC","2_NT","Worse",2007,1998,2015,NA,NA,NA,NA
"Pelecanus philippensis","3_VU","2_NT","Better",2007,1998,2015,NA,NA,NA,NA
"Pila occidentalis","2_NT","1_LC","Better",2007,1998,2015,NA,NA,NA,NA
"Pinus bhutanica","9_DD","1_LC","Gain_info",2007,1998,2015,NA,NA,NA,NA
"Pinus bungeana","9_DD","1_LC","Gain_info",2007,1998,2015,NA,NA,NA,NA
"Planilaoma luckmanii","9_DD","1_LC","Gain_info",2007,1998,2015,NA,NA,NA,NA
"Podocarpus acuminatus","9_DD","2_NT","Gain_info",2007,1998,2015,NA,NA,NA,NA
"Podocarpus atjehensis","8_R","2_NT","Better",2007,1998,2015,NA,NA,NA,NA
"Podocarpus borneensis","8_R","1_LC","Better",2007,1998,2015,NA,NA,NA,NA
"Podocarpus globulus","8_R","4_EN","Unclear",2007,1998,2015,NA,NA,NA,NA
"Podocarpus guatemalensis","9_DD","1_LC","Gain_info",2007,1998,2015,NA,NA,NA,NA
"Podocarpus humbertii","3_VU","4_EN","Worse",2007,1998,2015,NA,NA,NA,NA
"Podocarpus laubenfelsii","8_R","4_EN","Unclear",2007,1998,2015,NA,NA,NA,NA
"Podocarpus longifoliolatus","3_VU","4_EN","Worse",2007,1998,2015,NA,NA,NA,NA
"Podocarpus palawanensis","9_DD","5_CR","Gain_info",2007,1998,2015,NA,NA,NA,NA
"Podocarpus pallidus","8_R","3_VU","Unclear",2007,1998,2015,NA,NA,NA,NA
"Podocarpus pendulifolius","8_R","4_EN","Unclear",2007,1998,2015,NA,NA,NA,NA
"Podocarpus perrieri","9_DD","5_CR","Gain_info",2007,1998,2015,NA,NA,NA,NA
"Progomphus bellei","3_VU","2_NT","Better",2007,1998,2015,NA,NA,NA,NA
"Pseudobarbus afer","2_NT","4_EN","Worse",2007,1998,2015,NA,NA,NA,NA
"Pseudobarbus asper","3_VU","4_EN","Worse",2007,1998,2015,NA,NA,NA,NA
"Pseudobarbus burchelli","4_EN","5_CR","Worse",2007,1998,2015,NA,NA,NA,NA
"Pseudobarbus burgi","5_CR","4_EN","Better",2007,1998,2015,NA,NA,NA,NA
"Pseudobarbus quathlambae","5_CR","4_EN","Better",2007,1998,2015,NA,NA,NA,NA
"Pseudobarbus tenuis","4_EN","2_NT","Better",2007,1998,2015,NA,NA,NA,NA
"Psittacula eques","5_CR","4_EN","Better",2007,1998,2015,NA,NA,NA,NA
"Redigobius dewaali","2_NT","1_LC","Better",2007,1998,2015,NA,NA,NA,NA
"Rhinoclemmys rubida","3_VU","2_NT","Better",2007,1998,2015,NA,NA,NA,NA
"Sandelia capensis","1_LC","9_DD","Loss_info",2007,1998,2015,NA,NA,NA,NA
"Sarcogyps calvus","2_NT","5_CR","Worse",2007,1998,2015,NA,NA,NA,NA
"Serranochromis meridianus","2_NT","4_EN","Worse",2007,1998,2015,NA,NA,NA,NA
"Sheppardia gunningi","3_VU","2_NT","Better",2007,1998,2015,NA,NA,NA,NA
"Silhouettea sibayi","2_NT","4_EN","Worse",2007,1998,2015,NA,NA,NA,NA
"Somatochlora hineana","4_EN","2_NT","Better",2007,1998,2015,NA,NA,NA,NA
"Thamnophis hammondii","9_DD","1_LC","Gain_info",2007,1998,2015,NA,NA,NA,NA
"Xantusia riversiana","3_VU","1_LC","Better",2007,1998,2015,NA,NA,NA,NA
